ref_month,year,month,fuel,value
2017-02-01,2017,2,gas,0.7835265552146686
2017-03-01,2017,3,electricity,0.8845258685832311
2017-03-01,2017,3,gas,0.7521167720967231
2017-04-01,2017,4,electricity,0.8066161777300128
2017-04-01,2017,4,gas,0.6033050212377579
2017-05-01,2017,5,electricity,0.8174740978321102
2017-05-01,2017,5,gas,0.49083245080739607
2017-06-01,2017,6,electricity,0.7643599603701029
2017-06-01,2017,6,gas,0.38163871151336026
2017-07-01,2017,7,electricity,0.7839566086211819
2017-07-01,2017,7,gas,0.3778198592848794
2017-08-01,2017,8,electricity,0.7934912931772766
2017-08-01,2017,8,gas,0.37520462744626787
2017-09-01,2017,9,electricity,0.7978976003761481
2017-09-01,2017,9,gas,0.4454916901259447
2017-10-01,2017,10,electricity,0.8526338768450571
2017-10-01,2017,10,gas,0.564193394638936
2017-11-01,2017,11,electricity,0.9359775654481033
2017-11-01,2017,11,gas,0.8021973697839584
2017-12-01,2017,12,electricity,0.9873755268593306
2017-12-01,2017,12,gas,0.9394054865405733
2018-01-01,2018,1,electricity,0.9780462644149314
2018-01-01,2018,1,gas,1
2018-02-01,2018,2,electricity,0.926111521014374
2018-02-01,2018,2,gas,0.952262370466377
2018-03-01,2018,3,electricity,1
2018-03-01,2018,3,gas,0.9407173262592481
2018-04-01,2018,4,electricity,0.877589222276876
2018-04-01,2018,4,gas,0.6576108533812607
2018-05-01,2018,5,electricity,0.8111678143958025
2018-05-01,2018,5,gas,0.454531964304195
2018-06-01,2018,6,electricity,0.7674960376017925
2018-06-01,2018,6,gas,0.38051504888197624
2018-07-01,2018,7,electricity,0.8068399191124228
2018-07-01,2018,7,gas,0.3800175984113753
2018-08-01,2018,8,electricity,0.8115196480297316
2018-08-01,2018,8,gas,0.3710907750414279
2018-09-01,2018,9,electricity,0.7955334207793627
2018-09-01,2018,9,gas,0.40508437271218023
2018-10-01,2018,10,electricity,0.856916434388151
2018-10-01,2018,10,gas,0.6192019519665426
2018-11-01,2018,11,electricity,0.9204411925452259
2018-11-01,2018,11,gas,0.7587348942261949
2018-12-01,2018,12,electricity,0.9478295622233153
2018-12-01,2018,12,gas,0.858679835764755
2019-01-01,2019,1,electricity,1
2019-01-01,2019,1,gas,1
2019-02-01,2019,2,electricity,0.8594375607098013
2019-02-01,2019,2,gas,0.7664561194349945
2019-03-01,2019,3,electricity,0.9108213211129651
2019-03-01,2019,3,gas,0.7399401626120392
2019-04-01,2019,4,electricity,0.8307808422712828
2019-04-01,2019,4,gas,0.6163296570566676
2019-05-01,2019,5,electricity,0.8044662106592027
2019-05-01,2019,5,gas,0.5067867646593409
2019-06-01,2019,6,electricity,0.7547544024124848
2019-06-01,2019,6,gas,0.4153415079945148
2019-07-01,2019,7,electricity,0.7839086450756948
2019-07-01,2019,7,gas,0.3807715564087738
2019-08-01,2019,8,electricity,0.7694262902630786
2019-08-01,2019,8,gas,0.3302265376265136
2019-09-01,2019,9,electricity,0.7762291725190633
2019-09-01,2019,9,gas,0.3791394414804792
2019-10-01,2019,10,electricity,0.8749826543425065
2019-10-01,2019,10,gas,0.6276049704759774
2019-11-01,2019,11,electricity,0.925912889261938
2019-11-01,2019,11,gas,0.8196916053033403
2019-12-01,2019,12,electricity,0.9397521855528442
2019-12-01,2019,12,gas,0.8374738762943637
2020-01-01,2020,1,electricity,0.9767195992450366
2020-01-01,2020,1,gas,0.9262491194869703
2020-02-01,2020,2,electricity,0.9163863936310612
2020-02-01,2020,2,gas,0.8908541395301088
2020-03-01,2020,3,electricity,0.9416819220344274
2020-03-01,2020,3,gas,0.8860595459066247
2020-04-01,2020,4,electricity,0.7402152780734244
2020-04-01,2020,4,gas,0.5540107381758845
2020-05-01,2020,5,electricity,0.7346169128812067
2020-05-01,2020,5,gas,0.46506009759934125
2020-06-01,2020,6,electricity,0.7342089204876041
